PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
hPa,m,C,C,%,g/kg,deg,knot,K,K,K
1000,84,24.6,23.2,92,18.28,120,2,297.8,351,301
967,377,23.7,21.2,86,16.67,50,12,299.8,348.7,302.7
925,765,22.6,18.5,78,14.71,55,21,302.4,346.1,305.1
913,879,22.2,17.6,75,14.07,57,22,303.1,345.1,305.7
850,1499,18.4,15.2,82,12.94,70,29,305.4,344.4,307.8
840,1599,17.9,14.6,81,12.55,75,31,305.9,343.9,308.2
756,2493,13.7,8.8,72,9.49,75,26,310.7,340.1,312.5
700,3145,10.6,4.6,66,7.65,30,12,314.2,338.4,315.6
698,3169,10.5,4.6,67,7.68,30,12,314.3,338.6,315.8
684,3338,9.6,4.6,71,7.83,43,12,315.2,340,316.6
670,3510,9.8,1.8,57,6.55,57,13,317.2,338.4,318.5
652,3733,8.3,1.2,61,6.46,75,13,318,338.9,319.3
600,4415,3.7,-0.5,75,6.21,130,4,320.3,340.6,321.5
570,4835,0.8,-1.5,85,6.05,107,5,321.7,341.6,322.9
508,5755,-4.1,-5.9,87,4.88,57,6,326.5,343,327.4
500,5880,-4.9,-7.2,84,4.48,50,6,327,342.2,327.9
454,6633,-8.7,-14.7,62,2.71,53,3,331.4,341,331.9
430,7048,-11.8,-15.1,76,2.77,55,1,332.6,342.5,333.2
407,7469,-14.9,-15.5,95,2.83,139,4,333.9,344,334.4
400,7600,-15.7,-16.3,95,2.69,165,5,334.5,344.1,335
381,7964,-18.1,-19.4,89,2.17,170,11,336,343.9,336.4
369,8204,-19.7,-21.5,86,1.87,157,14,337,343.9,337.4
362,8346,-20.4,-24.3,71,1.49,150,16,337.9,343.5,338.2
355,8490,-21.1,-27.1,58,1.18,157,17,338.8,343.3,339.1
347,8656,-22.3,-27.5,63,1.16,165,18,339.4,343.8,339.6
323,9180,-26.2,-28.7,79,1.11,130,16,341.1,345.4,341.3
321,9225,-26.5,-28.8,81,1.11,131,16,341.3,345.5,341.5
306,9568,-29.1,-31.5,79,0.9,140,18,342.4,345.9,342.6
300,9710,-30.1,-32.6,79,0.83,130,19,342.8,346.1,343
294,9854,-30.7,-35.6,62,0.63,124,17,344,346.5,344.1
290,9951,-31.5,-36.5,61,0.58,120,16,344.2,346.6,344.4
262,10666,-37.1,-43.1,54,0.33,130,21,346.1,347.5,346.2
250,10990,-39.9,-45.9,53,0.25,135,24,346.6,347.7,346.7
210,12154,-49.9,-60.9,26,0.05,143,26,348.7,348.9,348.7
200,12470,-53.1,-62.1,33,0.04,145,26,348.5,348.7,348.5
198,12534,-53.7,-62.4,34,0.04,145,27,348.6,348.8,348.6
172,13424,-61.5,-66.5,51,0.03,131,33,350,350.1,350
171,13459,-61.8,-66.8,51,0.03,130,33,350.1,350.3,350.1
156,14020,-65.8,-70.8,50,0.02,135,31,352.6,352.7,352.6
150,14260,-67.5,-72.5,49,0.01,120,32,353.6,353.7,353.6
149,14300,-67.8,-72.8,49,0.01,120,32,353.8,353.9,353.8
141,14629,-70,-75,48,0.01,125,18,355.5,355.6,355.5
136,14844,-71.5,-76.4,48,0.01,100,10,356.6,356.6,356.6
130,15108,-73.4,-78.8,43,0.01,0,0,357.9,357.9,357.9
124,15384,-75.3,-81.3,39,0,292,12,359.2,359.2,359.2
123,15430,-75.5,-81.6,38,0,280,14,359.6,359.7,359.6
118,15666,-76.7,-82.9,37,0,295,23,361.8,361.8,361.8
113,15913,-77.9,-84.3,35,0,285,24,364.1,364.1,364.1
105,16332,-79.9,-86.7,32,0,275,18,367.9,367.9,367.9
100,16610,-81.3,-88.3,30,0,295,12,370.4,370.4,370.4
94,16953,-83.3,-90.3,29,0,340,10,373.1,373.2,373.1
93,17013,-83.6,-90.6,29,0,340,10,373.6,373.6,373.6
91,17133,-84.3,-91.3,29,0,325,8,374.6,374.6,374.6
89,17257,-85,-92,29,0,270,11,375.6,375.6,375.6
87,17383,-85.7,-92.7,28,0,270,10,376.6,376.6,376.6
86.5,17415,-85.9,-92.9,28,0,270,9,376.8,376.8,376.8
86,17447,-85.5,-92.5,28,0,250,9,378.2,378.2,378.2
83,17643,-83.1,-90.1,29,0,190,18,387,387,387
82.5,17676,-82.7,-89.7,30,0,187,19,388.5,388.5,388.5
78.3,17966,-84.3,-91.3,29,0,157,32,391,391,391
78,17988,-84,-91,29,0,155,33,392.1,392.1,392.1
77,18060,-82.8,-89.8,30,0,150,29,395.9,395.9,395.9
74,18284,-79.4,-86.4,31,0,105,12,407.8,407.8,407.8
73.1,18352,-78.3,-85.3,32,0,114,7,411.4,411.4,411.4
72,18439,-78,-85.3,30,0,125,1,414,414,414
70,18600,-77.3,-85.3,27,0,220,9,418.7,418.7,418.7
69,18683,-77.1,-85.4,26,0,215,11,420.8,420.9,420.8
67,18852,-76.7,-85.7,23,0,202,12,425.3,425.3,425.3
66,18940,-74.7,-84.2,22,0.01,195,13,431.5,431.5,431.5
65,19029,-72.6,-82.8,20,0.01,200,11,437.8,437.9,437.8
64,19120,-70.5,-81.3,19,0.01,265,12,444.4,444.4,444.4
63.5,19166,-69.5,-80.5,19,0.01,265,13,447.7,447.7,447.7
58,19704,-70.1,-84.6,10,0.01,265,22,458,458,458
52,20352,-70.9,-89.6,5,0,240,37,470.8,470.8,470.8
50.3,20549,-71.1,-91.1,4,0,244,33,474.7,474.7,474.7
50,,,,,,245,32,,,
