   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
 1000.0     84   28.8   22.8     70  17.83    120      3  301.9  354.8  305.2
  988.0    193   30.0   21.0     59  16.12    111      5  304.2  352.5  307.1
  936.0    677   26.7   17.7     58  13.82     70     15  305.6  347.2  308.1
  925.0    783   26.0   17.0     58  13.35     65     15  305.9  346.2  308.3
  893.0   1091   23.5   15.3     60  12.42     50     14  306.4  344.0  308.7
  850.0   1522   20.0   13.0     64  11.19     60     17  307.1  341.1  309.1
  843.0   1593   19.6   11.6     60  10.28     63     17  307.4  338.8  309.3
  837.0   1655   19.8    5.8     40   6.95     66     17  308.2  329.8  309.5
  794.0   2101   17.3   -0.9     29   4.54     85     18  310.2  324.7  311.1
  748.0   2607   14.4   -8.4     20   2.72     85     25  312.4  321.4  312.9
  700.0   3168   11.2  -16.8     12   1.47    100     19  314.9  319.9  315.1
  698.0   3191   11.0  -16.9     12   1.47    100     19  314.9  320.0  315.2
  667.0   3563    8.5  -17.9     14   1.41     85     17  316.2  321.1  316.4
  642.0   3876    6.3  -18.8     15   1.36    100     12  317.2  322.0  317.5
  628.0   4056    5.1  -19.2     15   1.34     85     11  317.8  322.5  318.1
  604.0   4375    2.9  -20.1     17   1.29     95      5  318.8  323.4  319.1
  586.0   4623    1.2  -20.8     18   1.25    103     12  319.6  324.1  319.9
  581.0   4692    1.4  -27.3     10   0.70    105     14  320.6  323.2  320.8
  572.0   4818    1.8  -39.2      3   0.22    103     16  322.5  323.4  322.6
  513.0   5686   -2.6  -38.6      4   0.27     90     30  327.4  328.4  327.4
  502.0   5858   -3.5  -38.5      5   0.27    100     34  328.3  329.4  328.4
  500.0   5890   -3.7  -38.7      5   0.27    100     34  328.5  329.5  328.5
  491.0   6031   -4.8  -38.4      5   0.29    110     34  328.9  330.0  328.9
  447.0   6759  -10.2  -36.5     10   0.38     90     36  331.0  332.5  331.1
  428.0   7095  -12.7  -35.7     13   0.43     81     34  331.9  333.6  332.0
  421.0   7221  -12.5  -40.5      8   0.27     77     33  333.7  334.8  333.8
  407.0   7478  -13.7  -45.0      5   0.17     70     31  335.4  336.2  335.5
  400.0   7610  -14.3  -47.3      4   0.13     70     28  336.3  336.9  336.3
  373.0   8138  -16.5  -51.5      3   0.09     74     18  340.2  340.6  340.2
  365.0   8298  -17.9  -51.7      3   0.09     75     15  340.4  340.8  340.4
  352.0   8565  -20.3  -51.9      4   0.09     55     17  340.8  341.2  340.8
  319.0   9290  -26.7  -52.7      7   0.09     58     14  341.6  342.0  341.6
  300.0   9730  -30.7  -46.7     19   0.19     60     12  342.0  342.8  342.0
  296.0   9825  -31.6  -45.8     23   0.21     65     10  342.1  343.0  342.1
  291.0   9946  -32.7  -44.7     29   0.25     49     10  342.1  343.2  342.2
  282.0  10164  -34.5  -44.8     34   0.25     20     10  342.7  343.7  342.7
  252.0  10945  -40.9  -45.1     64   0.27    190      1  344.4  345.6  344.5
  250.0  11000  -41.3  -45.1     67   0.27    205      1  344.5  345.7  344.6
  228.0  11616  -46.9  -48.5     84   0.21    261      4  345.2  346.1  345.2
  224.0  11733  -47.9  -49.9     80   0.18    271      4  345.4  346.2  345.4
  200.0  12470  -53.3  -61.3     37   0.05    340      8  348.2  348.4  348.2
  185.0  12968  -57.3  -70.3     18   0.02    345      8  349.6  349.6  349.6
  150.0  14260  -68.5  -74.5     42   0.01      0      9  351.9  351.9  351.9
