year,month,day,h_ini,min_ini,h_fim,min_fim,Fit good,cloud < 2km,cloud <5km,cloud <10km,coef lin grande,tem pausa
2011,1,24,20,0,21,0,1,,1,1,0,1
2011,2,2,20,0,21,0,0,1,1,1,0,1
2011,2,3,20,0,21,0,1,0,0,0,0,1
2011,2,4,20,0,21,0,1,0,0,0,1,1
2011,2,5,20,0,20,20,,1,1,0,,1
2011,2,7,20,0,21,0,0,1,0,0,1,1
2011,2,8,20,0,21,0,1,0,0,0,1,1
2011,2,10,20,0,21,0,1,0,0,0,0,1
2011,2,11,20,0,21,0,0,0,0,0,1,1
2011,2,12,20,30,21,0,,1,1,1,,1
2011,2,13,20,0,21,0,1,0,0,0,1,1
2011,2,14,20,10,20,40,,1,1,1,,1
2011,2,15,20,0,21,0,1,0,0,0,0,1
2011,7,18,20,0,21,0,0,,1,1,1,1
2011,7,20,20,0,21,0,0,,1,1,1,0
2011,7,22,20,0,21,0,0,,1,1,1,1
2011,7,24,20,0,21,0,0,,1,1,1,1
2011,7,27,20,0,21,0,0,,1,1,1,1
2011,7,29,20,0,21,0,0,,1,1,1,1
2011,7,30,20,0,21,0,0,,1,1,1,1
2011,8,1,20,0,21,0,0,,1,1,1,1
2011,8,4,20,0,21,0,0,,1,1,1,1
2011,8,7,20,0,21,0,0,,1,1,1,1
2011,8,8,20,0,21,0,0,,1,1,1,1
2011,8,10,20,0,21,0,0,,1,1,1,1
2011,8,11,20,0,21,0,0,,1,1,1,1
2011,8,12,20,0,21,0,1,,1,1,1,1
2011,8,13,20,0,21,0,1,0,0,0,0,1
2011,8,14,20,0,21,0,0,1,1,0,0,1
2011,8,15,20,0,21,0,0,0,0,0,1,1
2011,8,16,20,0,21,0,1,0,0,0,0,0
2011,8,17,20,0,21,0,0,0,0,0,1,1
2011,8,18,20,0,21,0,1,1,1,1,0,1
2011,8,20,20,0,21,0,0,1,1,1,1,1
2011,8,21,20,0,21,0,0,0,0,0,0,1
2011,8,23,20,0,21,0,1,0,0,0,0,1
2011,8,24,20,0,21,0,0,1,1,0,1,1
2011,8,25,20,0,21,0,0,1,1,0,1,1
2011,8,26,20,0,21,0,0,0,0,0,0,1
2011,8,27,20,0,21,0,0,,1,1,1,1
2011,8,28,20,0,21,0,0,0,0,0,1,1
2011,8,29,20,0,21,0,0,,1,1,1,1
2011,8,30,20,0,21,0,0,,1,1,1,1
2011,8,31,20,0,21,0,0,,1,1,1,1
2011,9,1,20,0,21,0,1,0,0,0,0,1
2011,9,2,20,0,21,0,0,,1,1,1,1
2011,9,3,20,0,20,15,,1,1,1,,1
2011,9,4,20,0,21,0,0,0,0,0,1,1
2011,9,5,20,0,21,0,0,0,0,0,1,1
2011,9,6,20,0,21,0,0,0,0,0,0,1
2011,9,7,20,0,21,0,0,,,,1,1
2011,9,9,20,0,21,0,0,,1,1,1,1
2011,9,10,20,0,21,0,0,1,1,1,1,1
2011,10,25,20,0,21,0,0,,,,1,1
2011,10,30,20,0,21,0,1,,,,0,1
2011,10,31,20,0,21,0,0,,,,0,0
2011,11,4,20,30,21,0,0,,,,0,1
2011,11,9,20,0,21,0,1,0,0,0,1,0
2011,11,10,20,0,20,20,,1,1,1,,1
2011,11,16,20,0,21,0,0,0,0,0,0,0
2011,11,18,20,10,20,50,,1,1,0,,1
2011,12,14,20,0,21,0,1,0,0,0,0,0
2011,12,15,20,0,21,0,1,0,0,0,0,0
2011,12,16,20,0,21,0,1,0,0,0,0,0
2011,12,17,20,0,21,0,0,,,,0,0
2011,12,18,20,0,21,0,1,0,0,0,0,0
2011,12,22,20,0,21,0,0,,,,1,0
2011,12,24,20,0,21,0,0,0,0,0,0,0
2011,12,25,20,0,21,0,1,0,0,0,0,0
2011,12,26,20,0,21,0,1,0,0,0,0,0
2011,12,28,20,0,21,0,0,,,,0,0
2011,12,29,20,0,21,0,0,,,,1,0
2011,12,30,20,0,21,0,0,1,1,0,1,0
2012,1,1,20,0,21,0,0,,,,1,0
2012,1,3,20,0,21,0,1,1,1,0,0,0
2012,1,4,20,0,21,0,1,0,0,0,0,0
2012,1,5,20,0,21,0,1,0,0,0,0,0
2012,1,6,20,0,21,0,1,0,0,0,0,0
2012,1,7,20,0,21,0,1,0,0,0,0,0
2012,1,8,20,0,21,0,1,0,0,0,0,0
2012,1,10,20,0,21,0,1,0,0,0,0,0
2012,5,24,20,40,20,50,,1,1,1,,1
2012,5,25,20,20,21,0,,1,1,0,,1
2012,6,7,20,0,21,0,0,0,0,0,0,0
2012,6,8,20,0,21,0,1,0,0,0,1,0
