PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
hPa,m,C,C,%,g/kg,deg,knot,K,K,K
1002,84,25.2,22.3,84,17.25,60,2,298.2,348.5,301.2
1000,104,25,22.1,84,17.07,60,2,298.1,347.9,301.2
982,264,24,21.8,88,17.06,89,8,298.7,348.6,301.7
975,327,24,21.4,86,16.8,100,11,299.3,348.5,302.3
933,714,23.8,19.2,75,15.25,96,15,302.9,348.3,305.7
925,789,23.2,18.8,76,15,95,16,303,347.7,305.8
882,1204,21.2,14.2,64,11.67,91,19,305.1,340.3,307.2
876,1263,20.8,14.3,66,11.85,90,19,305.3,341,307.4
850,1524,19,14.9,77,12.69,100,21,306,344.4,308.4
835,1676,17.8,14.2,80,12.38,105,22,306.4,343.8,308.6
800,2043,15,12.7,86,11.67,103,17,307.1,342.6,309.3
759,2485,12.8,10.3,85,10.44,100,11,309.4,341.5,311.3
741,2687,11.8,9.1,84,9.91,90,13,310.4,341.1,312.3
713,3011,10.2,7.3,83,9.11,110,12,312.1,340.5,313.8
700,3166,9.4,6.5,82,8.75,100,12,312.9,340.3,314.5
697,3202,9.2,6.4,83,8.71,95,12,313,340.3,314.6
682,3382,8,5.7,85,8.5,105,12,313.7,340.4,315.3
666,3579,6.8,5,88,8.28,85,15,314.4,340.6,316
640,3905,5.8,-0.8,63,5.66,85,12,316.9,335.1,317.9
617,4206,4.8,-6.2,45,3.92,60,11,319.1,332.1,319.8
612,4272,4.6,-7.4,41,3.6,61,12,319.6,331.6,320.3
572,4819,0.8,-6.2,59,4.22,65,19,321.4,335.4,322.2
555,5062,-0.9,-5.7,70,4.53,80,18,322.1,337.2,323
522,5550,-3.5,-9.5,63,3.58,80,20,324.7,336.9,325.4
514,5673,-4.5,-7,83,4.43,80,20,324.9,339.9,325.8
500,5890,-6.1,-10.3,72,3.51,80,21,325.5,337.6,326.2
480,6208,-7.9,-14.9,57,2.52,80,23,327.1,336,327.6
476,6273,-8.5,-12.7,72,3.04,80,23,327.2,337.7,327.8
467,6421,-9.3,-19.3,44,1.79,80,24,328,334.4,328.3
448,6740,-11.5,-23.5,36,1.29,80,26,329.1,333.9,329.4
411,7395,-14.5,-45.5,5,0.16,80,30,333.5,334.1,333.5
400,7600,-15.7,-23.7,50,1.42,85,31,334.5,339.8,334.8
391,7771,-16.9,-20.2,76,1.98,87,32,335.1,342.3,335.5
377,8044,-18.1,-25.1,54,1.33,91,33,337,342,337.3
362,8347,-19.5,-25.5,59,1.33,95,35,339.1,344.1,339.4
345,8697,-22.5,-27.1,66,1.2,105,30,339.7,344.2,339.9
322,9201,-26.9,-29.5,78,1.03,95,32,340.4,344.4,340.6
313,9407,-28.7,-30.5,84,0.97,101,30,340.7,344.4,340.9
300,9710,-30.3,-34.1,69,0.72,110,28,342.6,345.4,342.7
295,9829,-31.5,-35.7,66,0.62,111,27,342.5,345,342.6
280,10196,-34.6,-36.6,82,0.6,115,23,343.2,345.6,343.3
272,10399,-36.3,-37.1,92,0.58,105,19,343.6,345.9,343.7
268,10502,-37.1,-38.5,86,0.51,100,17,343.9,346,344
253,10899,-40.1,-44.2,65,0.3,104,20,345.1,346.4,345.2
250,10980,-40.9,-44.8,66,0.28,105,21,345.1,346.3,345.2
231,11514,-44.9,-47.5,75,0.23,114,17,346.9,347.9,347
200,12460,-53.3,-56.6,67,0.09,130,11,348.2,348.6,348.2
195,12622,-54.7,-58.4,64,0.07,140,7,348.4,348.8,348.5
191,12755,-55.9,-59.8,61,0.06,151,8,348.6,348.9,348.6
184,12986,-57.9,-61.8,60,0.05,170,11,349.2,349.5,349.2
172,13403,-61.4,-65.5,58,0.03,160,12,350.2,350.4,350.2
151,14209,-68.2,-72.6,53,0.01,175,19,351.8,351.9,351.8
150,14250,-68.5,-73,52,0.01,175,18,351.9,352,351.9
145,14452,-70.3,-74.7,52,0.01,177,15,352.2,352.2,352.2
137,14783,-71.7,-76.1,52,0.01,180,10,355.5,355.5,355.5
125,15318,-74,-78.4,50,0.01,0,0,360.8,360.9,360.8
110,16064,-77.1,-81.6,49,0,5,4,368.3,368.4,368.4
105,16331,-77.3,-82,47,0,55,11,372.9,372.9,372.9
101,16553,-77.5,-82.3,46,0,60,20,376.7,376.7,376.7
100,16610,-77.5,-82.3,46,0,65,18,377.7,377.8,377.7
95.3,16888,-74.9,-79.9,46,0.01,126,20,388.1,388.1,388.1
95,16906,-75,-80.1,45,0.01,130,20,388.1,388.2,388.1
91.5,17123,-76.7,-82.7,38,0,130,17,389,389.1,389
90,17219,-75.8,-81.8,39,0.01,130,16,392.6,392.7,392.6
87.2,17402,-74.1,-80.1,39,0.01,153,13,399.6,399.7,399.6
83.2,17675,-75.9,-82.9,33,0.01,188,9,401.4,401.4,401.4
77,18130,-72.9,-82.2,24,0.01,245,2,416.5,416.6,416.5
72,18524,-70.4,-81.6,18,0.01,180,11,430,430.1,430
70,18690,-69.3,-81.3,16,0.01,200,10,435.8,435.9,435.8
67,18952,-68,-82.7,11,0.01,255,11,444.2,444.2,444.2
65.6,19079,-67.3,-83.3,9,0.01,260,14,448.3,448.4,448.3
60,19613,-69.3,-90.3,3,0,279,26,455.4,455.4,455.4
58,19817,-66.3,-89.3,3,0,286,31,466.6,466.6,466.6
57,19921,-67,-91,2,0,290,33,467.3,467.3,467.3
55,20136,-68.5,-94.5,1,0,271,32,468.7,468.7,468.7
52,20474,-67.1,-94.8,1,0,240,31,479.6,479.6,479.6
50,20710,-66.1,-95.1,1,0,240,18,487.3,487.3,487.3
49,20834,-64.3,-93.8,1,0,345,4,494.4,494.4,494.4
48,20960,-62.5,-92.4,1,0,30,10,501.6,501.6,501.6
47.9,20972,-62.3,-92.3,1,0,30,10,502.4,502.4,502.4
44.4,21438,-64.5,-94.5,1,0,26,22,508,508,508
44,21494,-64.3,-94.3,1,0,25,23,509.9,509.9,509.9
43,21635,-63.7,-93.7,1,0,45,16,514.7,514.7,514.7
42,21780,-63.1,-93.1,1,0,85,16,519.7,519.7,519.7
40,22080,-61.8,-91.8,1,0,120,35,530.1,530.1,530.1
39.8,22111,-61.7,-91.7,1,0,121,36,531.2,531.2,531.2
38,22396,-62.3,-92.3,1,0,130,44,536.8,536.8,536.8
37,22560,-62.6,-92.6,1,0,110,48,540,540,540
35,22903,-63.3,-93.3,1,0,95,49,546.8,546.8,546.8
34.5,22992,-63.5,-93.5,1,0,97,49,548.6,548.6,548.6
32,23458,-61.1,-91.7,1,0,105,52,567,567.1,567
31,23654,-60,-90.9,1,0,95,52,575,575,575
